package|requirement
CassandraLauncher|
CheesePrism|
Clyther|
CreateAppendGet|
DLinklist|
DendroPy|
Djaloha|
DrQueueIPython|
Ella-Series|
FinDates|
Flask-Cake|
Flask-Tweepy|
Flask-fillin|
Graphviz-Datasource|
ITI1480A-linux|
Kate-plugins|
Kemvi|
L1L2Signature|
Mezzanine|requests
Mopidy|requests
Morelia|requests
Mothership|
OWSLib|requests
OpenSRS|
Petrified|
Print-Lista-Recursiva|
Products.DisableSelectDefaultView|
Products.FirebirdDA|
Products.MigrateExternalMethods|
Products.PatchPloneContent|
Products.PermissionComprehensible|
Products.PloneContentTemplates|
Products.SimpleChat|
Products.Undoer|
Products.ZSQLiteDA|
Products.Zope_Hotfix_CVE_2010_1104|
Pwmngr|
PyHyphen|requests
PyLucid|
PyMollom|
PyMunin|
PySO8601|
PyThorlabsMDT|
PyVCF|
RPi.GPIO|
RangeParser|
RoboMachine|
Scio|
Shake-Auth|
Sharescanner|
Sphinx|requests
StorageAlchemy|
TGInterface|
Tippy|
TracTicketReferencePlugin|
Updatorr|
Yak|
ZombieAgent|
abl.errorreporter|
abl.robot|
abouttag|
adi.dropdownmenu|
adi.fullscreen|
airy|
akismet|requests
anidado_sinnick|
appomatic_django_filer|
appomatic_django_vcs|
are-you-a-human|
argent|
assembla|
asv_meta|
atcrashes|
auslfe.formonline.tokenaccess|
auth.credential|
avalanchetoolbox|
aws.authrss|
bandwidthMonitor|
bandwidthTracker|
bettercache|
bigmouth|
bossy|
botornado|
boxdotcom|
bpython|requests
braintree|requests
breakdown|
browsermob-proxy|
bugwarrior|python-bugzilla
bugwarrior|requests
buildbot|lz4
c2.patch.contentpaste|
c2.recipe.bitbucketbk|
caldav|requests
carrie|
cartman|requests
cato|
cc.licenserdf|
celery-redis-unixsocket|
centipede|
cgen|
chardet2|
checkFileDup|
checkout-by-amazon|
cipr|
clay|
clay|WebTest
clay|flake8
clay|ipdb
clay|pyceo
clay|pytest
clay|pytest-cov
clocktower|
cloudplay|
clutchclient|
collective.anotherdynamicgroupsplugin|
collective.backtowork|
collective.chimpfeed|
collective.downloadtracker|
collective.js.easing|
collective.js.fancybox|
collective.js.galleria|
collective.js.highslide|
collective.js.imagesloaded|
collective.js.mousewheel|
collective.js.oembed|
collective.js.twittertext|
collective.listusers|
collective.oembed|
collective.portlet.oembed|
collective.powertoken.core|
collective.powertoken.view|
collective.powertoken.workflow|
collective.randomheaderimage|
collective.readunread|
collective.registry|
collective.salesforce.content|
colorprint|
configman|
configman|configobj
configman|six
consoleargs|
constraintslib|
coop-bar|
coop-cms|
corneti.recipes.codeintel|
cpool|
cryptic|
cssbuster|
csscheck|
cubicweb-awstats|
d|
dates|
dbutil|
debojit_nester|
dicompyler|
discogs-client|requests
distancematrix|
django-adaptors|
django-admin-ckeditor|
django-adminaudit|
django-admintools-bootstrap|
django-adv-cache-tag|
django-aloha|
django-bootstrap-toolkit|
django-cache-purge-hooks|
django-celery-transactions|
django-cliauth|
django-cofingo|
django-compositekey|
django-currencies|requests
django-dynamite|
django-faleconosco|
django-fasttest|
django-federated-login|
django-file-repository|
django-flickr|
django-formfield|
django-geoip|
django-geoip-utils|
django-gravatar2|
django-inmemorystorage|
django-intercom-io|
django-inviter|
django-jinja|
django-lamson|
django-macaddress|netaddr
django-media-tree|
django-menus|
django-mobile-views|
django-mongonaut|
django-moreviews|
django-oauth2-provider|
django-oauthost|
django-oscar|
django-oscar|Babel
django-oscar|Sphinx
django-oscar|WebTest
django-oscar|coverage
django-oscar|django-haystack
django-oscar|django-treebeard
django-oscar|django-webtest
django-oscar|django-widget-tweaks
django-oscar|factory-boy
django-oscar|phonenumbers
django-oscar|pytest-xdist
django-oscar|sorl-thumbnail
django-oscar|sphinxcontrib-spelling
django-package-skeleton|
django-paypal|requests
django-private-views|
django-profiling-dashboard|
django-purls|
django-push|requests
django-redis-sessions|
django-registration-extended-backend|
django-request-signer|
django-resto|
django-rosetta|requests
django-s3backup|
django-sendgrid|
django-ses|requests
django-sitepush|
django-sld|
django-sse|
django-test|
django-trending|
django-tumblr-auth|
django-twostepauth|
django-ulogin|requests
django-user-metrics|
django-webid-provider|
django-wysiwyg-forms|
django_openkm|
django_tfa|
djangoutils|
djchart|
djenesis|
docbook2epub|
docx|
dom|
dploi-fabric|
dpm|
dropbox|requests
dtree|
dynect|
dynect-client|
eagexp|
ebaysdk|requests
eggmonster|
electrode|
ella_toolkit|
email_extractor|
epub|
epubtools-base|
epyparse|
erp5.extension.sectionextender|
evasion-common|
ewb_case.casclient|
ewb_case.portlet.get_involved|
exemelopy|
factor|
fastavro|
fgcp-client-api|
fixreal|
flashcards|
flexiconfig|
fmorgue|
fourdigits.recipe.stud|
fourdigits.recipe.supervisor|
friendlydb|
funfactory|
furl|orderedmultidict
gaspar|
gator-tests|
generateDS|requests
geopy|requests
gevent-selfpipe|
gevent_dht|
gh_favs|
git-review|requests
gitter|
glue|
gmtasks|
gnatirac|
gocept.exttest|
gocept.reference|zope.app.testing
gocept.runner|zope.app.testing
gocept.xmlrpcskin|zope.app.testing
goldenarch|
hamster|
hanzo-warc-tools|
harvest-vocab|
hg-github|
horae.app|
horae.attachments|
horae.auth|
horae.autocomplete|
horae.cache|
horae.calendar|
horae.core|
horae.dashboard|
horae.datetime|
horae.groupselect|
horae.js.jqplot|
horae.layout|
horae.lifecycle|
horae.notification|
horae.planning|
horae.properties|
horae.reports|
horae.resources|
horae.search|
horae.sphinx.grok|
horae.subscription|
horae.ticketing|
horae.timeaware|
horae.usersandgroups|
horae.workflow|
huey|
indenttest|
infinitedict|
inifaction|
instrumental|
integer|
jProcessing|
jabbapylib|
jaraco.net|requests
jarn.mkrelease|nose2
jenkviz|
jip|requests
jira|requests
jira-cli|requests
jldzeromq|
js.jquery_spin|
js.obviel|
js.raphael|
js.spin|
js.sugar|
js.underscore|
jslex|
jsocket|
jsonpickle|scikit-learn
jsonpublish|
jsonrpc2-zeromq|
jsonschema|
jsonschema|jsonpointer
jsonschema|webcolors
kinopoiskpy|requests
kwonly|
lava-android|
lava-android-test|
lava-fastmodels|
lava-test-demo|
lazyarray|
lazyrange|
linkedin|
lissues|
ll-xist|requests
logrotate|
lpaste|requests
ls-thrift-py-hadoop|
lz4|
lz4|flake8
lz4|pytest
lz4|pytest-cov
marionette|
marrow.mailer|requests
matop|
mdxflavours|
minus|
mixpanel|requests
mongoadmin|
mongodbforms|
monologue|
mozInstall|requests
mozregression|requests
mpdlcd|
msgpack-rpc-python|
msrestore|
muirc|
mungempo|
musicbrainzngs|
namegen|
ndg-httpsclient|
neuron_model|
newsuper|
nose2|
nose2|Sphinx
nose2|coverage
nose2|mock
nose2|six
nose2-cov|
notsetuptools|
objp|
oops_celery|
opencl-for-python|
openstack.nose_plugin|
orderedmultidict|six
os_diskconfig_python_novaclient_ext|
osha.oira|
oyProjectManager|
passmash|
pathlib|
pbundler|
pentacle|
persistent-crypto-dict|
php-var-dump|
pickup|
plone.cachepurging|requests
plonetheme.ewb_case|
plonetheme.transition|
plurk-oauth|requests
plush_web|
pmxbot|requests
posix_timers|
powerlaw|
powerlaw|matplotlib
powerlaw|mpmath
powerlaw|numpy
premailer|requests
prep|
prepy|
proconex|
progress_meter|
provpy|
proxytcp|
pusher|ndg-httpsclient
pusher|requests
py2pack|requests
pyDune|
pyGLUE|
pyazure|
pycap|requests
pycom|
pycompress|
pycrsltd|
pycsse|
pyelasticsearch|
pyelftools|
pygments-rspec|
pygments-style-github|
pyjama|
pyjulius|
pylabrad|requests
pylinkgrammar|
pyllist|
pylogd|
pylygon|
pymatgen|requests
pymdeco|
pymongo|requests
pyoperators|
pypanl|
pypap|
pypipegraph|
pypipegraph|flake8
pypipegraph|pandas
pypipegraph|pytest
pypipegraph|pytest-cov
pyramid_assetgen|
pyramid_basicauth|
pyramid_skins|
pyramid_weblayer|
pyremotecv|
pyroma|requests
pyrsync|
pyscrape|
